MTU,Out Area,In Area,Physical Flow (MW)
04/10/2023,EE,LV,4955.95
04/10/2023,LT,LV,8319.5
04/10/2023,LV,EE,0.0
04/10/2023,LV,LT,1.0
04/10/2024,EE,LV,7959.65
04/10/2024,LT,LV,924.0
04/10/2024,LV,EE,0.0
04/10/2024,LV,LT,3774.5
04/11/2021,EE,LV,5758.85
04/11/2021,LT,LV,6871.0
04/11/2021,LV,EE,0.0
04/11/2021,LV,LT,509.0
04/11/2022,EE,LV,13153.5
04/11/2022,LT,LV,0.0
04/11/2022,LV,EE,0.0
04/11/2022,LV,LT,4776.5
04/11/2023,EE,LV,7820.0
04/11/2023,LT,LV,261.5
04/11/2023,LV,EE,0.0
04/11/2023,LV,LT,2285.0
04/11/2024,EE,LV,9081.05
04/11/2024,LT,LV,841.5
04/11/2024,LV,EE,0.0
04/11/2024,LV,LT,1969.0
04/12/2021,EE,LV,4245.7
04/12/2021,LT,LV,1903.0
04/12/2021,LV,EE,80.35
04/12/2021,LV,LT,4985.5
04/12/2022,EE,LV,1169.1
04/12/2022,LT,LV,1319.0
04/12/2022,LV,EE,799.85
04/12/2022,LV,LT,1130.0
04/12/2023,EE,LV,1719.6
04/12/2023,LT,LV,911.5
04/12/2023,LV,EE,252.95
04/12/2023,LV,LT,435.0
04/12/2024,EE,LV,7420.3
04/12/2024,LT,LV,56.88
04/12/2024,LV,EE,900.65
04/12/2024,LV,LT,10293.04
05/01/2021,EE,LV,5307.55
05/01/2021,LT,LV,710.5
05/01/2021,LV,EE,0.0
05/01/2021,LV,LT,1518.5
05/01/2022,EE,LV,1278.8
05/01/2022,LT,LV,7930.0
05/01/2022,LV,EE,2264.0
05/01/2022,LV,LT,28.5
05/01/2023,EE,LV,821.95
05/01/2023,LT,LV,0.0
05/01/2023,LV,EE,617.35
05/01/2023,LV,LT,14897.5
05/01/2024,EE,LV,0.0
05/01/2024,LT,LV,11781.5
05/01/2024,LV,EE,14260.8
05/01/2024,LV,LT,0.0
05/02/2021,EE,LV,4086.55
05/02/2021,LT,LV,0.0
05/02/2021,LV,EE,151.5
05/02/2021,LV,LT,9967.5
05/02/2022,EE,LV,3898.55
05/02/2022,LT,LV,8027.5
